"parameter_stable_id","categories"
"RBRCLA_CSD_070_001","No data,As expected,Not as expected"
"RBRCLA_CSD_071_001","As expected,Absent"
"RBRCLA_CSD_072_001","As expected,Not as expected,No data"
"RBRCLA_CSD_073_001","As expected,Not as expected,No data"
"RBRCLA_CSD_074_001","As expected,Not as expected"
"RBRCLA_CSD_075_001","As expected,Not as expected"
"RBRCLA_CSD_076_001","As expected,Not as expected"
"RBRCLA_CSD_077_001","Present,No data,Absent"
"RBRCLA_CSD_078_001","Not as expected,As expected"
"RBRCLA_CSD_079_001","Excessive aggression,As expected"
"RBRCLA_CSD_080_001","Absent,Present"
"RBRCLA_PAT_076_001","No,Yes"
"RBRCLA_BLK_029_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_024_001","Blocked banked,Not Block banked"
"RBRCLA_BLK_017_001","Blocked banked,Not Block banked"
"RBRCLA_BLK_022_001","Blocked banked,Not Block banked"
"RBRCLA_BLK_023_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_031_001","Blocked banked,Not Block banked"
"RBRCLA_BLK_047_001","Not Block banked,Block banked"
"RBRCLA_BLK_051_001","Block banked,Not Block banked"
"RBRCLA_BLK_025_001","Blocked banked,Not Block banked"
"RBRCLA_BLK_026_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_033_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_052_001","Block banked,Not Block banked"
"RBRCLA_BLK_036_001","Blocked banked,Not Block banked"
"RBRCLA_BLK_021_001","Blocked banked,Not Block banked"
"RBRCLA_BLK_041_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_039_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_010_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_011_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_013_001","Blocked banked,Not Block banked"
"RBRCLA_BLK_016_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_045_001","Block banked,Not Block banked"
"RBRCLA_BLK_042_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_044_001","Not Block banked,Block banked"
"RBRCLA_BLK_050_001","Block banked,Not Block banked"
"RBRCLA_BLK_043_001","Not Block banked,Block banked"
"RBRCLA_BLK_020_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_040_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_056_001","Block banked,Not Block banked"
"RBRCLA_BLK_012_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_055_001","Not Block banked,Block banked"
"RBRCLA_BLK_053_001","Not Block banked,Block banked"
"RBRCLA_BLK_027_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_048_001","Not Block banked,Block banked"
"RBRCLA_BLK_038_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_018_001","Blocked banked,Not Block banked"
"RBRCLA_BLK_014_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_037_001","Blocked banked,Not Block banked"
"RBRCLA_BLK_028_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_030_001","Blocked banked,Not Block banked"
"RBRCLA_BLK_034_001","Blocked banked,Not Block banked"
"RBRCLA_BLK_032_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_035_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_046_001","Not Block banked,Block banked"
"RBRCLA_BLK_019_001","Not Block banked,Blocked banked"
"RBRCLA_BLK_015_001","Blocked banked,Not Block banked"
"RBRCLA_BLK_054_001","Block banked,Not Block banked"
"RBRCLA_BLK_049_001","Block banked,Not Block banked"
"RBRCLA_HEM_041_001","No,Yes"
"UCDLA_CSD_023_001","As expected,Not as expected"
"UCDLA_CSD_029_001","Inactive,Increased activity,As expected"
"UCDLA_CSD_014_001","No data,As expected,Not as expected"
"UCDLA_CSD_019_001","Both forelimbs - increased,As expected,One forelimb only - increased,Both forelimbs - decreased,One forelimb only - decreased"
"UCDLA_CSD_071_001","Absent,As expected"
"UCDLA_CSD_020_001","Both hindlimbs - not as expected,One hindlimb only - not as expected,As expected"
"UCDLA_CSD_003_001","No data,Decreased,Increased,As expected"
"UCDLA_CSD_053_002","Both hindlimbs - decreased length,One hindlimb - decreased length,One hindlimb - increased length,No data,As expected,Both hindlimbs - increased length"
"UCDLA_CSD_002_001","Long,As expected,No data,Short"
"UCDLA_CSD_073_001","No data,Not as expected,As expected"
"UCDLA_CSD_039_001","No data,Absent,Present"
"UCDLA_CSD_016_001","Not as expected,No data,As expected"
"UCDLA_CSD_055_002","One hindlimb - not as expected,As expected,Both hindlimbs - not as expected,No data"
"UCDLA_CSD_043_002","Both hindpaws - not as expected,One hindpaw - not as expected,As expected"
"UCDLA_CSD_066_001","As expected,Not as expected"
"UCDLA_CSD_057_001","As expected,Not as expected"
"UCDLA_CSD_028_001","Increased,Decreased,As expected"
"UCDLA_CSD_041_002","Both hindpaws - increased,As expected,Both hindpaws - decreased,One hindpaw - decreased,One hindpaw - increased"
"UCDLA_CSD_067_001","Not as expected,No data,As expected"
"UCDLA_CSD_013_001","Not as expected,As expected"
"UCDLA_CSD_050_002","One forelimb - decreased number,Both forelimbs - increased number,No data,One forelimb - increased number,As expected,Both forelimbs - decreased number"
"UCDLA_CSD_021_001","As expected,Both hindlimbs - not as expected,One hindlimb only - not as expected"
"UCDLA_CSD_052_002","Both forelimbs - decreased length,As expected,One forelimb - increased length,No data,Both forelimbs - increased length,One forelimb - decreased length"
"UCDLA_CSD_047_001","Both hindlimbs - decreased size,Both hindlimbs - increased size,One hindlimb - increased size,One hindlimb - decreased size,Both hindlimbs - fused,As expected,One hindlimb - fused"
"UCDLA_CSD_009_001","As expected,No data,Not as expected"
"UCDLA_CSD_048_002","Both forelimbs - not as expected,One forelimb - not as expected,As expected"
"UCDLA_CSD_022_001","As expected,Both hindlimbs - increased,One hindlimb only - increased,Both hindlimbs - decreased,One hindlimb only - decreased"
"UCDLA_CSD_074_001","As expected,Not as expected"
"UCDLA_CSD_008_001","As expected,Not as expected,No data"
"UCDLA_CSD_024_001","No data,As expected,Not as expected"
"UCDLA_CSD_072_001","Not as expected,As expected,No data"
"UCDLA_CSD_045_002","Both hindlimbs - decreased number,One hindlimb - decreased number,As expected,Both hindlimbs - increased number,One hindlimb - increased number"
"UCDLA_CSD_015_001","No data,As expected,Not as expected"
"UCDLA_CSD_040_002","One forepaw - increased,One forepaw - decreased,As expected,Both forepaws - decreased,Both forepaws - increased"
"UCDLA_CSD_005_001","Not as expected,No data,As expected"
"UCDLA_CSD_018_001","As expected,One forelimb only - not as expected,Both forelimbs - not as expected"
"UCDLA_CSD_011_001","Not as expected,As expected"
"UCDLA_CSD_059_001","Not as expected,As expected"
"UCDLA_CSD_033_001","Fluid movement,Lack of fluidity in movement"
"UCDLA_CSD_062_001","As expected,Not as expected"
"UCDLA_CSD_058_001","As expected,Not as expected"
"UCDLA_CSD_012_001","Not as expected,As expected"
"UCDLA_CSD_006_001","As expected,Not as expected,No data"
"UCDLA_CSD_054_002","Both forelimbs - not as expected,As expected,No data,One forelimb - not as expected"
"UCDLA_CSD_056_001","Not as expected,As expected"
"UCDLA_CSD_068_001","As expected,Not as expected"
"UCDLA_CSD_080_001","Present,Absent"
"UCDLA_CSD_065_001","Not as expected,As expected"
"UCDLA_CSD_070_001","As expected,No data,Not as expected"
"UCDLA_CSD_038_001","No data,Absent,Present"
"UCDLA_CSD_031_001","Immediate movement,Extended freeze,As expected"
"UCDLA_CSD_027_001","As expected,Not as expected"
"UCDLA_CSD_010_001","Not as expected,As expected,No data"
"UCDLA_CSD_044_002","As expected,Both forelimbs - decreased number,One forelimb - decreased number,One forelimb - increased number,Both forelimbs - increased number"
"UCDLA_CSD_026_001","As expected,Not as expected"
"UCDLA_CSD_025_001","As expected,Increased,Decreased"
"UCDLA_CSD_007_001","As expected,No data,Not as expected"
"UCDLA_CSD_079_001","As expected,Excessive aggression"
"UCDLA_CSD_004_001","Not as expected,As expected,No data"
"UCDLA_CSD_036_001","No data,None,Present"
"UCDLA_CSD_077_001","Present,No data,Absent"
"UCDLA_CSD_064_001","Not as expected,As expected"
"UCDLA_CSD_060_001","As expected,Not as expected"
"UCDLA_CSD_001_001","Present,Absent"
"UCDLA_CSD_069_001","Not as expected,As expected,No data"
"UCDLA_CSD_051_002","One hindlimb - increased number,No data,Both hindlimbs - decreased number,Both hindlimbs - increased number,One hindlimb - decreased number,As expected"
"UCDLA_CSD_034_001","As expected,Dragging,No data,Straub / elevated tail"
"UCDLA_CSD_030_001","Present,Absent"
"UCDLA_CSD_078_001","Not as expected,As expected"
"UCDLA_CSD_037_001","Other,Retropulsion,Circling,Jumping,None"
"UCDLA_CSD_063_001","As expected,Not as expected"
"UCDLA_CSD_049_002","Both hindlimbs - not as expected,One hindlimb - not as expected,As expected"
"UCDLA_CSD_046_001","Both forelimbs - fused,One forelimb - fused,Both forelimbs - increased size,One forelimb - increased size,One forelimb - decreased size,As expected,Both forelimbs - decreased size"
"UCDLA_CSD_075_001","As expected,Not as expected"
"UCDLA_CSD_061_001","Not as expected,As expected,No data"
"UCDLA_CSD_042_002","As expected,One forepaw - not as expected,Both forepaws - not as expected"
"UCDLA_CSD_017_001","As expected,One forelimb only - not as expected,Both forelimbs - not as expected"
"UCDLA_CSD_076_001","As expected,Not as expected"
"UCDLA_EYE_011_001","normal,no data left eye,right eye abnormal,no data left eye, right eye abnormal,no data for both eyes,no data right eye,no data right eye, left eye abnormal,left eye abnormal,both eyes abnormal"
"UCDLA_EYE_082_001","left eye abnormal,no data left eye, right eye abnormal,no data right eye,no data right eye, left eye abnormal,both eyes abnormal,normal,no data left eye,no data for both eyes,right eye abnormal"
"UCDLA_EYE_083_001","no data right eye, left eye abnormal,no data left eye,left eye abnormal,right eye abnormal,no data right eye,no data for both eyes,both eyes abnormal,no data left eye, right eye abnormal,normal"
"UCDLA_EYE_002_001","no data right eye, present left eye,no data right eye,present right eye,absent,no data left eye,present left eye,no data for both eyes,no data left eye, present right eye,present both eyes"
"UCDLA_EYE_084_001","present left eye,present both eyes,present right eye,no data for both eyes,no data right eye, present left eye,no data right eye,no data left eye,no data left eye, present right eye,absent"
"UCDLA_EYE_023_001","normal,no data right eye,no data left eye, right eye abnormal,no data left eye,no data right eye, left eye abnormal,left eye abnormal,both eyes abnormal,no data for both eyes,right eye abnormal"
"UCDLA_EYE_015_001","both eyes abnormal,no data right eye, left eye abnormal,left eye abnormal,right eye abnormal,no data left eye, right eye abnormal,no data for both eyes,no data left eye,no data right eye,normal"
"UCDLA_EYE_004_001","no data left eye,normal,left eye abnormal,no data right eye,no data left eye, right eye abnormal,no data for both eyes,both eyes abnormal,right eye abnormal,no data right eye, left eye abnormal"
"UCDLA_EYE_027_001","no data right eye,absent,present right eye,no data right eye, present left eye,no data left eye,present left eye,no data left eye, present right eye,present both eyes,no data for both eyes"
"UCDLA_EYE_013_001","no data left eye,no data left eye, right eye dilated,normal,no data right eye, left eye dilated,no data for both eyes,no data right eye,both eyes dilated,left eye dilated,right eye dilated"
"UCDLA_EYE_016_001","no data right eye, left eye abnormal,no data left eye, right eye abnormal,no data right eye,left eye abnormal,both eyes abnormal,right eye abnormal,no data left eye,no data for both eyes,normal"
"UCDLA_EYE_001_001","absent right eye,present,absent left eye,absent both eyes"
"UCDLA_EYE_009_001","absent,no data right eye, present left eye,present right eye,present both eyes,no data for both eyes,no data left eye, present right eye,no data right eye,present left eye,no data left eye"
"UCDLA_EYE_080_001","present right eye,present both eyes,present left eye,no data right eye, present left eye,no data for both eyes,no data left eye,absent,no data left eye, present right eye,no data right eye"
"UCDLA_EYE_003_001","no data for both eyes,no data left eye, present right eye,no data right eye,no data left eye,present right eye,present left eye,no data right eye, present left eye,absent,present both eyes"
"UCDLA_EYE_007_001","no data right eye,normal,no data left eye, right eye abnormal,right eye abnormal,no data right eye, left eye abnormal,no data left eye,no data for both eyes,left eye abnormal,both eyes abnormal"
"UCDLA_EYE_085_001","present left eye,no data right eye, present left eye,present both eyes,absent,no data for both eyes,no data left eye, present right eye,no data left eye,no data right eye,present right eye"
"UCDLA_EYE_086_001","present left eye,absent,no data right eye,no data left eye,no data for both eyes,present both eyes,present right eye,no data right eye, present left eye,no data left eye, present right eye"
"UCDLA_EYE_018_001","absent,no data for both eyes,no data left eye,no data right eye, present left eye,no data right eye,present both eyes,present left eye,present right eye,no data left eye, present right eye"
"UCDLA_EYE_008_001","present left eye,present right eye,no data right eye, present left eye,present both eyes,absent,no data left eye, present right eye,no data for both eyes,no data left eye,no data right eye"
"UCDLA_EYE_012_001","no data right eye,no data left eye, right eye abnormal,no data for both eyes,left eye abnormal,no data left eye,right eye abnormal,no data right eye, left eye abnormal,both eyes abnormal,normal"
"UCDLA_EYE_081_001","no data right eye,no data left eye,present right eye,present left eye,no data for both eyes,no data left eye, present right eye,absent,no data right eye, present left eye,present both eyes"
"UCDLA_EYE_010_001","left eye abnormal,no data for both eyes,both eyes abnormal,no data right eye, left eye abnormal,no data left eye, right eye abnormal,right eye abnormal,no data left eye,normal,no data right eye"
"UCDLA_EYE_019_001","present right eye,no data right eye,no data for both eyes,present both eyes,no data left eye,present left eye,no data left eye, present right eye,no data right eye, present left eye,absent"
"UCDLA_EYE_024_001","left eye abnormal,both eyes abnormal,no data right eye,no data left eye, right eye abnormal,no data right eye, left eye abnormal,right eye abnormal,no data for both eyes,no data left eye,normal"
"UCDLA_EYE_026_001","no data right eye, left eye abnormal,normal,no data left eye,no data right eye,both eyes abnormal,left eye abnormal,right eye abnormal,no data for both eyes,no data left eye, right eye abnormal"
"UCDLA_EYE_005_001","both eyes closed,no data for both eyes,no data left eye, right eye closed,normal,right eye closed,no data left eye,no data right eye, left eye closed,left eye closed,no data right eye"
"UCDLA_EYE_017_001","no data left eye, present right eye,present right eye,present left eye,no data left eye,absent,no data for both eyes,no data right eye,present both eyes,no data right eye, present left eye"
"UCDLA_EYE_025_001","right eye abnormal,no data right eye, left eye abnormal,no data left eye, right eye abnormal,no data right eye,normal,left eye abnormal,no data for both eyes,no data left eye,both eyes abnormal"
"UCDLA_EYE_014_001","normal,left eye abnormal,no data left eye, right eye abnormal,no data for both eyes,no data left eye,right eye abnormal,no data right eye,no data right eye, left eye abnormal,both eyes abnormal"
"UCDLA_EYE_006_001","both eyes abnormal,no data right eye, left eye abnormal,left eye abnormal,no data left eye, right eye abnormal,no data right eye,no data left eye,right eye abnormal,no data for both eyes,normal"
"UCDLA_HEM_041_001","Yes,No"
"UCDLA_PAT_076_001","Yes,No"
"UCDLA_BLK_023_001","Blocked banked,Not Block banked"
"UCDLA_BLK_025_001","Not Block banked,Blocked banked"
"UCDLA_BLK_018_001","Not Block banked,Blocked banked"
"UCDLA_BLK_033_001","Blocked banked,Not Block banked"
"UCDLA_BLK_040_001","Not Block banked,Blocked banked"
"UCDLA_BLK_024_001","Blocked banked,Not Block banked"
"UCDLA_BLK_044_001","Block banked,Not Block banked"
"UCDLA_BLK_038_001","Blocked banked,Not Block banked"
"UCDLA_BLK_047_001","Block banked,Not Block banked"
"UCDLA_BLK_028_001","Blocked banked,Not Block banked"
"UCDLA_BLK_017_001","Not Block banked,Blocked banked"
"UCDLA_BLK_045_001","Block banked,Not Block banked"
"UCDLA_BLK_046_001","Not Block banked,Block banked"
"UCDLA_BLK_020_001","Not Block banked,Blocked banked"
"UCDLA_BLK_022_001","Blocked banked,Not Block banked"
"UCDLA_BLK_042_001","Blocked banked,Not Block banked"
"UCDLA_BLK_054_001","Not Block banked,Block banked"
"UCDLA_BLK_021_001","Not Block banked,Blocked banked"
"UCDLA_BLK_019_001","Blocked banked,Not Block banked"
"UCDLA_BLK_035_001","Not Block banked,Blocked banked"
"UCDLA_BLK_027_001","Blocked banked,Not Block banked"
"UCDLA_BLK_043_001","Not Block banked,Block banked"
"UCDLA_BLK_011_001","Not Block banked,Blocked banked"
"UCDLA_BLK_014_001","Blocked banked,Not Block banked"
